project_id,project,category,opportunity_signal_grade,attention,reselection,money,activation,outcome,usage,purchase,repeat,friction,total_signal_volume,source_table
recent_i-built-a-free-app-store,I built a free App Store,Hardware,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_three-pins-a-daily-3-hole-golf,Three Pins a daily 3-hole golf,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_rust-glancer-0-2,Rust Glancer 0.2,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,1,1,1,04_recent_project_feature_scores.csv
recent_semantic-overlays,Semantic Overlays,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_sift-an-ios-app-that-auto-detects,"Sift, an iOS app that auto-detects",SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_executor,Executor,Developer Tools,D: 信号稀疏,0,0,0,1,1,1,0,1,0,1,04_recent_project_feature_scores.csv
recent_heaviside-1-a-foundation-model-for-electromagnetism,"Heaviside-1, a foundation model for electromagnetism",AI Products,D: 信号稀疏,1,0,0,0,0,0,0,0,0,1,04_recent_project_feature_scores.csv
recent_seedeep,Seedeep,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_supafork,Supafork,AI Products,D: 信号稀疏,0,0,0,2,1,1,0,1,0,2,04_recent_project_feature_scores.csv
recent_a-public-archive-where-temporary-ai,A public archive where temporary AI,AI Products,D: 信号稀疏,1,1,0,2,1,1,0,1,0,5,04_recent_project_feature_scores.csv
recent_newton-s-orchard,Newton's Orchard,Developer Tools,D: 信号稀疏,2,0,0,0,0,0,0,1,1,4,04_recent_project_feature_scores.csv
recent_running-104gb-qwen3-8-flash-next-on-48gb-mac,Running 104GB Qwen3.8-Flash-Next on 48GB Mac,AI Products,D: 信号稀疏,0,0,0,2,1,1,0,1,0,2,04_recent_project_feature_scores.csv
recent_malinois,Malinois,Hardware,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_i-spent-3-years-building-a,I spent 3 years building a,Hardware,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_tenux,Tenux,Hardware,D: 信号稀疏,0,0,0,2,1,1,0,1,0,2,04_recent_project_feature_scores.csv
recent_serde-shape-reflects-the-data-model-of,Serde-shape reflects the data model of,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_amendable,Amendable,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_the-fastest-local-h3-video-generation,The Fastest Local H3 Video Generation,AI Products,D: 信号稀疏,1,1,0,0,0,0,0,0,0,1,04_recent_project_feature_scores.csv
recent_orthogonal,Orthogonal,AI Products,D: 信号稀疏,1,0,0,1,1,1,0,1,1,4,04_recent_project_feature_scores.csv
recent_nosedive,Nosedive,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_ship-app-updates-without-app-store,Ship app updates without App Store,SaaS / Software,D: 信号稀疏,0,0,1,3,2,2,0,3,2,7,04_recent_project_feature_scores.csv
recent_signfile,Signfile,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_shed,Shed,AI Products,D: 信号稀疏,1,0,1,1,0,0,0,1,1,4,04_recent_project_feature_scores.csv
recent_don-t-trust-me-bro-fixing-gpt-oss,Don't trust me bro: fixing GPT-OSS,AI Products,D: 信号稀疏,1,0,0,0,0,0,0,0,0,1,04_recent_project_feature_scores.csv
recent_redash-fork-with-ai-capabilities,Redash Fork with AI Capabilities,AI Products,D: 信号稀疏,0,0,0,2,2,2,0,3,1,3,04_recent_project_feature_scores.csv
recent_the-rewind-a-personalised-weekly-newsletter,"The Rewind, a personalised weekly newsletter",AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_lanes-simple-claude-coordination-that-exploits,"Lanes, simple Claude coordination that exploits",SaaS / Software,D: 信号稀疏,0,0,1,0,0,0,0,0,0,1,04_recent_project_feature_scores.csv
recent_3d-internet-map-v1-0-1,3D Internet Map v1.0.1,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_i-built-a-game-where-you,I built a game where you,Consumer Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_tracking-number-formats-community-reverse-engineered-since,"Tracking number formats, community reverse-engineered since",Marketplace / Platform Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_zero-shot,Zero Shot,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_selfship-ai,Selfship.ai,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_slopyard,Slopyard,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_i-measured-when-impossible-to-book-restaurants-release,I measured when impossible-to-book restaurants release,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_pen-fight,Pen Fight,Consumer Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_will-your-money-last-ai-assisted-financial,Will your money last? AI-assisted financial,AI Products,D: 信号稀疏,1,0,0,0,0,0,0,1,1,2,04_recent_project_feature_scores.csv
recent_pearpie,PearPie,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_ambavi,Ambavi,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_binocular-discrepancy,Binocular Discrepancy,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_dashwise,Dashwise,AI Products,D: 信号稀疏,0,0,0,1,1,1,0,1,0,1,04_recent_project_feature_scores.csv
recent_openheim,Openheim,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_deterministic-jitter-suppression-for-jax-xla-pipelines,Deterministic Jitter Suppression for Jax/XLA Pipelines,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_oss-k8s-native-ai-platform-for-distributed,"OSS, K8s-native AI platform for distributed",AI Products,D: 信号稀疏,1,0,0,1,0,0,0,0,0,2,04_recent_project_feature_scores.csv
recent_invader,Invader,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_an-ipad-reader-for-mendeley-which,"An iPad reader for Mendeley, which",SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_ai-answers-with-interactive-video,AI Answers with Interactive Video,AI Products,B: 有重新选择和商业意图,33,8,9,10,10,9,0,22,17,92,04_recent_project_feature_scores.csv
recent_squiglyy,Squiglyy,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_abc-v0-1,ABC v0.1,Hardware,D: 信号稀疏,0,0,0,1,1,1,0,2,1,2,04_recent_project_feature_scores.csv
recent_i-gathered-992-posts-about-my,I gathered 992 posts about my,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_eu-hosted-content-extraction-api,EU-hosted content extraction API,Hardware,D: 信号稀疏,0,0,0,0,0,0,0,0,1,1,04_recent_project_feature_scores.csv
recent_noctovisor,Noctovisor,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_durable-workflow-2-0-polyglot-workflows-in,Durable Workflow 2.0 polyglot workflows in,AI Products,D: 信号稀疏,0,0,0,1,1,1,0,1,0,1,04_recent_project_feature_scores.csv
recent_mqlens,MQLens,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_swoff,Swoff,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_open-sourced-runtime-for-better-codex-and,Open-sourced runtime for better Codex and,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_manzanas,Manzanas,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_indexflow-seo,Indexflow-SEO,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_sqlflow-duckdb-for-streaming-data-go,SQLFlow (DuckDB for streaming data) Go,AI Products,D: 信号稀疏,0,0,0,1,1,1,0,1,0,1,04_recent_project_feature_scores.csv
recent_use-ai-to-make-fun-of,Use AI to make fun of,AI Products,A: 行为链较完整,139,36,34,160,153,127,12,191,114,537,04_recent_project_feature_scores.csv
recent_aicademy,AICademy,AI Products,D: 信号稀疏,1,0,0,0,0,0,0,0,0,1,04_recent_project_feature_scores.csv
recent_lit-cli,Lit-CLI,Developer Tools,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_keeplea,Keeplea,AI Products,D: 信号稀疏,1,0,0,0,0,0,0,0,0,2,04_recent_project_feature_scores.csv
recent_flightpowers,FlightPowers,Developer Tools,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_throttling-ai-models-under-load-can,Throttling AI models under load can,AI Products,D: 信号稀疏,0,0,0,1,1,1,0,1,0,2,04_recent_project_feature_scores.csv
recent_fottly,Fottly,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_i-made-a-game-inspired-by,I made a game inspired by,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_in-browser-imessage-exporter-for-mac-chat-db,In-browser iMessage exporter for Mac chat.db,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_srmed,Srmed,AI Products,D: 信号稀疏,1,0,0,0,0,0,0,0,0,1,04_recent_project_feature_scores.csv
recent_vocalclip,VocalClip,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_i-wrote-a-small-cli-to,I wrote a small CLI to,AI Products,D: 信号稀疏,0,0,0,1,0,0,0,0,0,1,04_recent_project_feature_scores.csv
recent_calprep,CalPrep,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_brilliant,Brilliant,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_an-open-url-format-for-ai,An open URL format for AI,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_a-proxy-between-llms-and-mcp,A Proxy between LLMs and MCP,AI Products,D: 信号稀疏,1,0,0,0,0,0,0,1,1,2,04_recent_project_feature_scores.csv
recent_what-differentiates-developers-when-we-all,What differentiates developers when we all,AI Products,D: 信号稀疏,0,0,1,1,1,1,0,1,0,3,04_recent_project_feature_scores.csv
recent_waves-audio-repair-that-took-14-817,"Waves, audio repair that took 14,817",AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_i-built-a-bot,I Built a Bot,AI Products,A: 行为链较完整,490,140,148,568,449,398,11,652,340,1863,04_recent_project_feature_scores.csv
recent_ai-powered-link-building-and-seo-outreach,"AI-powered link building and SEO outreach,",AI Products,D: 信号稀疏,1,0,0,0,0,0,0,0,0,1,04_recent_project_feature_scores.csv
recent_i-built-a-live-stream-site,I built a live stream site,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_turn-your-face-into-an-ascii,Turn your face into an ASCII,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_cuecast,CueCast,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_hypermarkdown-streaming-markdown-renderer-for-react,"HyperMarkdown, streaming Markdown renderer for React",SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_wordle-for-memecoins,Wordle for Memecoins,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_unitpost-email,Unitpost/email,AI Products,D: 信号稀疏,0,0,0,1,1,1,0,1,0,1,04_recent_project_feature_scores.csv
recent_rxlab-market,Rxlab market,AI Products,D: 信号稀疏,1,0,0,1,1,1,0,1,0,2,04_recent_project_feature_scores.csv
recent_choosecompute,ChooseCompute,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_promptlab,PromptLab,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_strunk,Strunk,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_edify,Edify,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_give-your-agent-somewhere-to-think,Give your agent somewhere to think,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_fly-by,Fly By,Consumer Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_commit-town,Commit Town,SaaS / Software,A: 行为链较完整,62,17,22,75,62,57,3,89,57,260,04_recent_project_feature_scores.csv
recent_another-text-editor,Another Text Editor,SaaS / Software,A: 行为链较完整,151,100,21,184,163,145,7,212,96,568,04_recent_project_feature_scores.csv
recent_watn,Watn,AI Products,D: 信号稀疏,0,0,0,1,0,0,0,0,0,1,04_recent_project_feature_scores.csv
recent_i-kept-finding-robot-datasets-with,I kept finding robot datasets with,Hardware,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_european-weather-outlook-28-august,"European weather outlook, 28 August",SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_i-built-a-real-time-translator-for,I built a real-time translator for,AI Products,D: 信号稀疏,3,1,0,3,3,3,0,7,6,13,04_recent_project_feature_scores.csv
recent_verb-authority,Verb Authority,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_chatgpt-work-isn-t-working,ChatGPT Work Isn't Working,AI Products,A: 行为链较完整,49,20,10,60,58,51,3,67,89,263,04_recent_project_feature_scores.csv
recent_codex-skin-a-plugin-for-applying,"Codex Skin, a plugin for applying",AI Products,D: 信号稀疏,1,0,0,1,0,0,0,1,1,3,04_recent_project_feature_scores.csv
recent_mcpbeat,Mcpbeat,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_i-ve-opensourced-saas-that-was-started,I've opensourced SaaS that was started,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_a-bluesky-bot-that-shares-wikipedia,A Bluesky bot that shares Wikipedia,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_compute-cheap,Compute.cheap,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_kagelin,Kagelin,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_clippy-vision,Clippy Vision,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_eatheria,Eatheria,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_openrouter-for-sandboxes,OpenRouter for Sandboxes,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_serendipity,Serendipity,SaaS / Software,D: 信号稀疏,1,0,0,0,0,0,0,0,0,1,04_recent_project_feature_scores.csv
recent_seatlr,Seatlr,AI Products,D: 信号稀疏,1,0,0,0,0,0,0,0,0,2,04_recent_project_feature_scores.csv
recent_i-built-the-ai-command-center,I Built the AI command center,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_a-curated-library-of-hero-sections,A Curated Library of Hero Sections,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_deslop-a-skill-that-turns-legalese,"Deslop, a skill that turns legalese",AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_i-rebuilt-tank-game-with-new,I rebuilt tank game with new,Consumer Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_chaosword,Chaosword,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_saccade,Saccade,AI Products,D: 信号稀疏,0,0,0,2,1,1,0,1,0,3,04_recent_project_feature_scores.csv
recent_nos4-new-nostalgic-internet-toy-a,"Nos4, new nostalgic internet toy. A",SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_libraries-ink,Libraries.ink,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_guided-sentence-diagramming-to-practice-grammar,Guided sentence diagramming to practice grammar,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_open-agent-forum,Open Agent Forum,Hardware,D: 信号稀疏,0,0,0,0,0,0,0,0,1,1,04_recent_project_feature_scores.csv
recent_49-ide,49 IDE,Hardware,D: 信号稀疏,0,0,0,1,1,1,0,1,0,1,04_recent_project_feature_scores.csv
recent_markdown-viewer-and-editor,Markdown Viewer and Editor,AI Products,A: 行为链较完整,13,7,3,25,16,14,1,28,17,66,04_recent_project_feature_scores.csv
recent_tubeviz,Tubeviz,Consumer Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_cdai,cdai,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_claude-code-arcade,Claude Code Arcade,AI Products,A: 行为链较完整,9,3,2,14,11,11,0,14,6,38,04_recent_project_feature_scores.csv
recent_i-made-a-minimalist-digital-zine,I made a minimalist digital zine,AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_sheet-based-infrastructure-sheeternetes-and-sheet-native-foundation,"Sheet-Based Infrastructure, Sheeternetes and Sheet-Native Foundation",Developer Tools,D: 信号稀疏,1,0,0,0,0,0,0,0,0,1,04_recent_project_feature_scores.csv
recent_transform-text-and-images-into-cinematic,Transform text and images into cinematic,AI Products,D: 信号稀疏,1,0,1,1,1,1,0,4,3,6,04_recent_project_feature_scores.csv
recent_room-treatment,Room Treatment,SaaS / Software,A: 行为链较完整,37,16,18,26,23,15,1,37,26,146,04_recent_project_feature_scores.csv
recent_keel,Keel,AI Products,D: 信号稀疏,6,2,0,4,2,2,0,4,7,20,04_recent_project_feature_scores.csv
recent_doom-compiled-into-an-llm,Doom Compiled into an LLM,AI Products,D: 信号稀疏,3,2,0,2,3,2,0,4,3,12,04_recent_project_feature_scores.csv
recent_terminal-browser,Terminal-browser,SaaS / Software,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_super-cli-mario,Super CLI MARIO,Developer Tools,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
recent_popsql-and-seekwell-were-shutting-down,"PopSQL and SeekWell were shutting down,",Developer Tools,D: 信号稀疏,0,0,0,0,1,0,0,0,0,1,04_recent_project_feature_scores.csv
recent_another-marketplace-for-returns-overstock-and,"*Another* marketplace for returns, overstock, and",AI Products,D: 信号稀疏,0,0,0,0,0,0,0,0,0,0,04_recent_project_feature_scores.csv
