project_id,project,category,source,event_year,attention,reselection,money,activation,outcome,usage,purchase,repeat,friction,total_signal_volume,money_per_attention,outcome_per_attention,reselection_per_attention,friction_per_usage,opportunity_signal_grade
recent_i-built-a-free-app-store,I built a free App Store,Hardware,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_three-pins-a-daily-3-hole-golf,Three Pins a daily 3-hole golf,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_rust-glancer-0-2,Rust Glancer 0.2,AI Products,show_hn,2026,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,1.0,D: 信号稀疏
recent_semantic-overlays,Semantic Overlays,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_sift-an-ios-app-that-auto-detects,"Sift, an iOS app that auto-detects",SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_executor,Executor,Developer Tools,show_hn,2026,0,0,0,1,1,1,0,1,0,1,0.0,1.0,0.0,0.0,D: 信号稀疏
recent_heaviside-1-a-foundation-model-for-electromagnetism,"Heaviside-1, a foundation model for electromagnetism",AI Products,show_hn,2026,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_seedeep,Seedeep,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_supafork,Supafork,AI Products,show_hn,2026,0,0,0,2,1,1,0,1,0,2,0.0,1.0,0.0,0.0,D: 信号稀疏
recent_a-public-archive-where-temporary-ai,A public archive where temporary AI,AI Products,show_hn,2026,1,1,0,2,1,1,0,1,0,5,0.0,1.0,1.0,0.0,D: 信号稀疏
recent_newton-s-orchard,Newton's Orchard,Developer Tools,show_hn,2026,2,0,0,0,0,0,0,1,1,4,0.0,0.0,0.0,1.0,D: 信号稀疏
recent_running-104gb-qwen3-8-flash-next-on-48gb-mac,Running 104GB Qwen3.8-Flash-Next on 48GB Mac,AI Products,show_hn,2026,0,0,0,2,1,1,0,1,0,2,0.0,1.0,0.0,0.0,D: 信号稀疏
recent_malinois,Malinois,Hardware,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_i-spent-3-years-building-a,I spent 3 years building a,Hardware,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_tenux,Tenux,Hardware,show_hn,2026,0,0,0,2,1,1,0,1,0,2,0.0,1.0,0.0,0.0,D: 信号稀疏
recent_serde-shape-reflects-the-data-model-of,Serde-shape reflects the data model of,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_amendable,Amendable,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_the-fastest-local-h3-video-generation,The Fastest Local H3 Video Generation,AI Products,show_hn,2026,1,1,0,0,0,0,0,0,0,1,0.0,0.0,1.0,0.0,D: 信号稀疏
recent_orthogonal,Orthogonal,AI Products,show_hn,2026,1,0,0,1,1,1,0,1,1,4,0.0,1.0,0.0,1.0,D: 信号稀疏
recent_nosedive,Nosedive,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_ship-app-updates-without-app-store,Ship app updates without App Store,SaaS / Software,show_hn,2026,0,0,1,3,2,2,0,3,2,7,1.0,2.0,0.0,1.0,D: 信号稀疏
recent_signfile,Signfile,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_shed,Shed,AI Products,show_hn,2026,1,0,1,1,0,0,0,1,1,4,1.0,0.0,0.0,1.0,D: 信号稀疏
recent_don-t-trust-me-bro-fixing-gpt-oss,Don't trust me bro: fixing GPT-OSS,AI Products,show_hn,2026,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_redash-fork-with-ai-capabilities,Redash Fork with AI Capabilities,AI Products,show_hn,2026,0,0,0,2,2,2,0,3,1,3,0.0,2.0,0.0,0.5,D: 信号稀疏
recent_the-rewind-a-personalised-weekly-newsletter,"The Rewind, a personalised weekly newsletter",AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_lanes-simple-claude-coordination-that-exploits,"Lanes, simple Claude coordination that exploits",SaaS / Software,show_hn,2026,0,0,1,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,D: 信号稀疏
recent_3d-internet-map-v1-0-1,3D Internet Map v1.0.1,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_i-built-a-game-where-you,I built a game where you,Consumer Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_tracking-number-formats-community-reverse-engineered-since,"Tracking number formats, community reverse-engineered since",Marketplace / Platform Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_zero-shot,Zero Shot,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_selfship-ai,Selfship.ai,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_slopyard,Slopyard,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_i-measured-when-impossible-to-book-restaurants-release,I measured when impossible-to-book restaurants release,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_pen-fight,Pen Fight,Consumer Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_will-your-money-last-ai-assisted-financial,Will your money last? AI-assisted financial,AI Products,show_hn,2026,1,0,0,0,0,0,0,1,1,2,0.0,0.0,0.0,1.0,D: 信号稀疏
recent_pearpie,PearPie,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_ambavi,Ambavi,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_binocular-discrepancy,Binocular Discrepancy,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_dashwise,Dashwise,AI Products,show_hn,2026,0,0,0,1,1,1,0,1,0,1,0.0,1.0,0.0,0.0,D: 信号稀疏
recent_openheim,Openheim,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_deterministic-jitter-suppression-for-jax-xla-pipelines,Deterministic Jitter Suppression for Jax/XLA Pipelines,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_oss-k8s-native-ai-platform-for-distributed,"OSS, K8s-native AI platform for distributed",AI Products,show_hn,2026,1,0,0,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_invader,Invader,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_an-ipad-reader-for-mendeley-which,"An iPad reader for Mendeley, which",SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_ai-answers-with-interactive-video,AI Answers with Interactive Video,AI Products,show_hn,2026,33,8,9,10,10,9,0,22,17,92,0.273,0.303,0.242,1.889,B: 有重新选择和商业意图
recent_squiglyy,Squiglyy,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_abc-v0-1,ABC v0.1,Hardware,show_hn,2026,0,0,0,1,1,1,0,2,1,2,0.0,1.0,0.0,1.0,D: 信号稀疏
recent_i-gathered-992-posts-about-my,I gathered 992 posts about my,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_eu-hosted-content-extraction-api,EU-hosted content extraction API,Hardware,show_hn,2026,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,1.0,D: 信号稀疏
recent_noctovisor,Noctovisor,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_durable-workflow-2-0-polyglot-workflows-in,Durable Workflow 2.0 polyglot workflows in,AI Products,show_hn,2026,0,0,0,1,1,1,0,1,0,1,0.0,1.0,0.0,0.0,D: 信号稀疏
recent_mqlens,MQLens,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_swoff,Swoff,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_open-sourced-runtime-for-better-codex-and,Open-sourced runtime for better Codex and,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_manzanas,Manzanas,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_indexflow-seo,Indexflow-SEO,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_sqlflow-duckdb-for-streaming-data-go,SQLFlow (DuckDB for streaming data) Go,AI Products,show_hn,2026,0,0,0,1,1,1,0,1,0,1,0.0,1.0,0.0,0.0,D: 信号稀疏
recent_use-ai-to-make-fun-of,Use AI to make fun of,AI Products,show_hn,2026,139,36,34,160,153,127,12,191,114,537,0.245,1.101,0.259,0.898,A: 行为链较完整
recent_aicademy,AICademy,AI Products,show_hn,2026,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_lit-cli,Lit-CLI,Developer Tools,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_keeplea,Keeplea,AI Products,show_hn,2026,1,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_flightpowers,FlightPowers,Developer Tools,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_throttling-ai-models-under-load-can,Throttling AI models under load can,AI Products,show_hn,2026,0,0,0,1,1,1,0,1,0,2,0.0,1.0,0.0,0.0,D: 信号稀疏
recent_fottly,Fottly,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_i-made-a-game-inspired-by,I made a game inspired by,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_in-browser-imessage-exporter-for-mac-chat-db,In-browser iMessage exporter for Mac chat.db,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_srmed,Srmed,AI Products,show_hn,2026,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_vocalclip,VocalClip,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_i-wrote-a-small-cli-to,I wrote a small CLI to,AI Products,show_hn,2026,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_calprep,CalPrep,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_brilliant,Brilliant,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_an-open-url-format-for-ai,An open URL format for AI,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_a-proxy-between-llms-and-mcp,A Proxy between LLMs and MCP,AI Products,show_hn,2026,1,0,0,0,0,0,0,1,1,2,0.0,0.0,0.0,1.0,D: 信号稀疏
recent_what-differentiates-developers-when-we-all,What differentiates developers when we all,AI Products,show_hn,2026,0,0,1,1,1,1,0,1,0,3,1.0,1.0,0.0,0.0,D: 信号稀疏
recent_waves-audio-repair-that-took-14-817,"Waves, audio repair that took 14,817",AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_i-built-a-bot,I Built a Bot,AI Products,show_hn,2026,490,140,148,568,449,398,11,652,340,1863,0.302,0.916,0.286,0.854,A: 行为链较完整
recent_ai-powered-link-building-and-seo-outreach,"AI-powered link building and SEO outreach,",AI Products,show_hn,2026,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_i-built-a-live-stream-site,I built a live stream site,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_turn-your-face-into-an-ascii,Turn your face into an ASCII,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_cuecast,CueCast,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_hypermarkdown-streaming-markdown-renderer-for-react,"HyperMarkdown, streaming Markdown renderer for React",SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_wordle-for-memecoins,Wordle for Memecoins,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_unitpost-email,Unitpost/email,AI Products,show_hn,2026,0,0,0,1,1,1,0,1,0,1,0.0,1.0,0.0,0.0,D: 信号稀疏
recent_rxlab-market,Rxlab market,AI Products,show_hn,2026,1,0,0,1,1,1,0,1,0,2,0.0,1.0,0.0,0.0,D: 信号稀疏
recent_choosecompute,ChooseCompute,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_promptlab,PromptLab,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_strunk,Strunk,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_edify,Edify,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_give-your-agent-somewhere-to-think,Give your agent somewhere to think,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_fly-by,Fly By,Consumer Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_commit-town,Commit Town,SaaS / Software,show_hn,2026,62,17,22,75,62,57,3,89,57,260,0.355,1.0,0.274,1.0,A: 行为链较完整
recent_another-text-editor,Another Text Editor,SaaS / Software,show_hn,2026,151,100,21,184,163,145,7,212,96,568,0.139,1.079,0.662,0.662,A: 行为链较完整
recent_watn,Watn,AI Products,show_hn,2026,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_i-kept-finding-robot-datasets-with,I kept finding robot datasets with,Hardware,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_european-weather-outlook-28-august,"European weather outlook, 28 August",SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_i-built-a-real-time-translator-for,I built a real-time translator for,AI Products,show_hn,2026,3,1,0,3,3,3,0,7,6,13,0.0,1.0,0.333,2.0,D: 信号稀疏
recent_verb-authority,Verb Authority,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_chatgpt-work-isn-t-working,ChatGPT Work Isn't Working,AI Products,show_hn,2026,49,20,10,60,58,51,3,67,89,263,0.204,1.184,0.408,1.745,A: 行为链较完整
recent_codex-skin-a-plugin-for-applying,"Codex Skin, a plugin for applying",AI Products,show_hn,2026,1,0,0,1,0,0,0,1,1,3,0.0,0.0,0.0,1.0,D: 信号稀疏
recent_mcpbeat,Mcpbeat,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_i-ve-opensourced-saas-that-was-started,I've opensourced SaaS that was started,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_a-bluesky-bot-that-shares-wikipedia,A Bluesky bot that shares Wikipedia,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_compute-cheap,Compute.cheap,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_kagelin,Kagelin,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_clippy-vision,Clippy Vision,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_eatheria,Eatheria,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_openrouter-for-sandboxes,OpenRouter for Sandboxes,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_serendipity,Serendipity,SaaS / Software,show_hn,2026,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_seatlr,Seatlr,AI Products,show_hn,2026,1,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_i-built-the-ai-command-center,I Built the AI command center,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_a-curated-library-of-hero-sections,A Curated Library of Hero Sections,SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_deslop-a-skill-that-turns-legalese,"Deslop, a skill that turns legalese",AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_i-rebuilt-tank-game-with-new,I rebuilt tank game with new,Consumer Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_chaosword,Chaosword,AI Products,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
recent_saccade,Saccade,AI Products,show_hn,2026,0,0,0,2,1,1,0,1,0,3,0.0,1.0,0.0,0.0,D: 信号稀疏
recent_nos4-new-nostalgic-internet-toy-a,"Nos4, new nostalgic internet toy. A",SaaS / Software,show_hn,2026,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,D: 信号稀疏
